Title,Release Year,criticConsensus,Rank,Director
Lilo & Stitch,2002,"Edgier than traditional Disney fare, Lilo and Stitch explores issues of family while providing a fun and charming story.",76,"Dean DeBlois, Chris Sanders"
X-Men: First Class,2011,"With a strong script, stylish direction, and powerful performances from its well-rounded cast, X-Men",77,Matthew Vaughn
The Emperor's New Groove,2000,"The Emperor's New Groove isn't the most ambitious animated film, but its brisk pace, fresh characters, and big laughs make for a great time for the whole family.",78,Mark Dindal
Mulan,1998,"Exploring themes of family duty and honor, Mulan breaks new ground as a Disney film, while still bringing vibrant animation and sprightly characters to the screen.",79,"Barry Cook, Tony Bancroft"
Anastasia,1997,"Beautiful animation, an affable take on Russian history, and strong voice performances make Anastasia a winning first film from Fox animation studios.",80,"Don Bluth, Gary Goldman"
Guardians of the Galaxy Vol. 2,2017,"Guardians of the Galaxy Vol. 2's action-packed plot, dazzling visuals, and irreverent humor add up to a sequel that's almost as fun -- if not quite as thrillingly fresh -- as its predecessor.",81,James Gunn
X2,2003,"Tightly scripted, solidly acted, and impressively ambitious, X2",82,Bryan Singer
The Princess and the Frog,2009,The warmth of traditional Disney animation makes this occasionally lightweight fairy-tale update a lively and captivating confection for the holidays.,83,"Ron Clements, John Musker"
Rogue One: A Star Wars Story,2016,Rogue One draws deep on Star Wars mythology while breaking new narrative and aesthetic ground -- and suggesting a bright blockbuster future for the franchise.,84,Gareth Edwards
The Rookie,2002,"A heart-warming sports flick, The Rookie greatly benefits from understated direction and the emotional honesty Dennis Quaid brings to the role of Jim Morris.",85,John Lee Hancock
Hercules,1997,"Fast-paced and packed with dozens of pop culture references, Hercules might not measure up with the true classics of the Disney pantheon, but it's still plenty of fun.",86,"Ron Clements, John Musker"
Ant-Man,2015,"Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.",87,Peyton Reed
The Book of Life,2014,"The Book of Life's gorgeous animation is a treat, but it's a pity that its story lacks the same level of craft and detail that its thrilling visuals provide.",88,Jorge R. Gutierrez
Star Wars: Episode VI -- Return of the Jedi,1983,"Though failing to reach the cinematic heights of its predecessors, Return of the Jedi remains an entertaining sci-fi adventure and a fitting end to the classic trilogy.",89,Richard Marquand
The Sound of Music,1965,"Unapologetically sweet and maybe even a little corny, The Sound of Music will win over all but the most cynical filmgoers with its classic songs and irresistible warmth.",90,Robert Wise
Avatar,2009,"It might be more impressive on a technical level than as a piece of storytelling, but Avatar reaffirms James Cameron's singular gift for imaginative, absorbing filmmaking.",91,James Cameron
Drumline,2002,"Essentially a sports movie with drums, the energetic Drumline somehow manages to make the familiar seem fresh.",92,Charles Stone
Miracle,2004,"Kurt Russell's performance guides this cliche-ridden tale into the realm of inspirational, nostalgic goodness.",93,Gavin O'Connor
Fantasia 2000,1999,It provides an entertaining experience for adults and children alike.,94,"James Algar, Gaëtan Brizzi, Paul Brizzi, Hendel Butoy"
While You Were Sleeping,1995,"While You Were Sleeping is built wholly from familiar ingredients, but assembled with such skill -- and with such a charming performance from Sandra Bullock -- that it gives formula a good name.",95,Jon Turteltaub
Mary Poppins Returns,2018,Mary Poppins Returns relies on the magic of its classic forebear to cast a familiar -- but still solidly effective -- family-friendly spell.,96,Rob Marshall
Free Guy,2021,"Combining a clever concept, sweet, self-aware humor, and a charming cast, Free Guy is frivolous fun.",97,Shawn Levy
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"May leave you exhausted like the theme park ride that inspired it; however, you'll have a good time when it's over.",98,Gore Verbinski
Monsters University,2013,"Offering Monsters, Inc. fans a return visit with beloved characters, Monsters University delivers funny and thoughtful family entertainment for viewers of any age.",99,Dan Scanlon
Chip 'n' Dale: Rescue Rangers,2022,"Sometimes some reboots fall through the cracks, but Chip 'n' Dale",100,Akiva Schaffer
